cluster_id,suite,task_id,level,N_star,right_censored,formable,s_hat_10,s_hat_20,s_hat_40,s_hat_80,n_eval_80,n_success_80,wilson_80_lo,wilson_80_hi
libero_object_task0,libero_object,0,L1_2,80,0,1,0.0,0.15,0.45,0.95,20,19,0.7639,0.9911
libero_object_task1,libero_object,1,L1_2,10,0,1,0.8,0.75,0.85,1.0,20,20,0.8389,1.0
libero_object_task2,libero_object,2,L1_2,10,0,1,0.85,0.95,1.0,1.0,20,20,0.8389,1.0
libero_object_task3,libero_object,3,L1_2,20,0,1,0.65,0.8,0.85,0.9,20,18,0.699,0.9721
libero_object_task4,libero_object,4,L1_2,20,0,1,0.6,1.0,0.95,1.0,20,20,0.8389,1.0
libero_object_task5,libero_object,5,L1_2,10,0,1,0.85,1.0,0.85,0.9,20,18,0.699,0.9721
libero_object_task6,libero_object,6,L1_2,40,0,1,0.45,0.7,0.95,0.8,20,16,0.584,0.9193
libero_object_task7,libero_object,7,L1_2,40,0,1,0.25,0.65,0.9,0.85,20,17,0.6396,0.9476
libero_object_task8,libero_object,8,L1_2,10,0,1,1.0,0.85,0.65,1.0,20,20,0.8389,1.0
libero_object_task9,libero_object,9,L1_2,10,0,1,0.8,0.9,0.75,0.95,20,19,0.7639,0.9911
libero_goal_task0,libero_goal,0,L3,40,0,1,0.0,0.4,0.8,0.8,20,16,0.584,0.9193
libero_goal_task1,libero_goal,1,L3,10,0,1,0.85,0.95,0.9,1.0,20,20,0.8389,1.0
libero_goal_task2,libero_goal,2,L3,10,0,1,0.85,1.0,1.0,1.0,20,20,0.8389,1.0
libero_goal_task3,libero_goal,3,L3,10,0,1,0.8,0.9,0.85,0.9,20,18,0.699,0.9721
libero_goal_task4,libero_goal,4,L3,10,0,1,0.85,1.0,1.0,1.0,20,20,0.8389,1.0
libero_goal_task5,libero_goal,5,L3,10,0,1,0.95,1.0,0.95,1.0,20,20,0.8389,1.0
libero_goal_task6,libero_goal,6,L3,20,0,1,0.5,0.9,0.85,0.95,20,19,0.7639,0.9911
libero_goal_task7,libero_goal,7,L3,10,0,1,1.0,1.0,1.0,1.0,20,20,0.8389,1.0
libero_goal_task8,libero_goal,8,L3,10,0,1,0.9,1.0,1.0,1.0,20,20,0.8389,1.0
libero_goal_task9,libero_goal,9,L3,20,0,1,0.75,0.85,0.95,1.0,20,20,0.8389,1.0
libero_spatial_task0,libero_spatial,0,L4a,10,0,1,0.9,0.95,0.95,1.0,20,20,0.8389,1.0
libero_spatial_task1,libero_spatial,1,L4a,20,0,1,0.65,0.9,0.85,1.0,20,20,0.8389,1.0
libero_10_task0,libero_10,0,T3,>80,1,0,0.15,0.2,0.65,0.5,20,10,0.2993,0.7007
libero_10_task2,libero_10,2,T3,10,0,1,0.9,0.95,0.9,1.0,20,20,0.8389,1.0
libero_10_task5,libero_10,5,T3,40,0,1,0.6,0.7,0.85,0.95,20,19,0.7639,0.9911
chained_libero_object_task0,libero_object,0,L1_2,10,0,1,0.86,0.42,0.98,0.98,50,49,0.895,0.9965
chained_libero_object_task5,libero_object,5,L1_2,80,0,1,0.18,0.74,0.74,0.86,50,43,0.7381,0.9305
