cluster_id,suite,task_id,n,num_trials,num_success,success_rate,n_infra_error,protocol_heldout
libero_object_task0,libero_object,0,10,50,1,0.02,0,50
libero_object_task0,libero_object,0,20,50,12,0.24,0,50
libero_object_task0,libero_object,0,40,50,28,0.56,0,50
libero_object_task0,libero_object,0,80,50,47,0.94,0,50
libero_object_task1,libero_object,1,10,20,16,0.8,0,20
libero_object_task1,libero_object,1,20,20,15,0.75,0,20
libero_object_task1,libero_object,1,40,20,17,0.85,0,20
libero_object_task1,libero_object,1,80,20,20,1.0,0,20
libero_object_task2,libero_object,2,10,20,17,0.85,0,20
libero_object_task2,libero_object,2,20,20,19,0.95,0,20
libero_object_task2,libero_object,2,40,20,20,1.0,0,20
libero_object_task2,libero_object,2,80,20,20,1.0,0,20
libero_object_task3,libero_object,3,10,20,13,0.65,0,20
libero_object_task3,libero_object,3,20,20,16,0.8,0,20
libero_object_task3,libero_object,3,40,20,17,0.85,0,20
libero_object_task3,libero_object,3,80,20,18,0.9,0,20
libero_object_task4,libero_object,4,10,20,12,0.6,0,20
libero_object_task4,libero_object,4,20,20,20,1.0,0,20
libero_object_task4,libero_object,4,40,20,19,0.95,0,20
libero_object_task4,libero_object,4,80,20,20,1.0,0,20
libero_object_task5,libero_object,5,10,50,41,0.82,0,50
libero_object_task5,libero_object,5,20,50,49,0.98,0,50
libero_object_task5,libero_object,5,40,50,40,0.8,0,50
libero_object_task5,libero_object,5,80,50,45,0.9,0,50
libero_object_task6,libero_object,6,10,20,9,0.45,0,20
libero_object_task6,libero_object,6,20,20,14,0.7,0,20
libero_object_task6,libero_object,6,40,20,19,0.95,0,20
libero_object_task6,libero_object,6,80,20,16,0.8,0,20
libero_object_task7,libero_object,7,10,20,5,0.25,0,20
libero_object_task7,libero_object,7,20,20,13,0.65,0,20
libero_object_task7,libero_object,7,40,20,18,0.9,0,20
libero_object_task7,libero_object,7,80,20,17,0.85,0,20
libero_object_task8,libero_object,8,10,20,20,1.0,0,20
libero_object_task8,libero_object,8,20,20,17,0.85,0,20
libero_object_task8,libero_object,8,40,20,13,0.65,0,20
libero_object_task8,libero_object,8,80,20,20,1.0,0,20
libero_object_task9,libero_object,9,10,20,16,0.8,0,20
libero_object_task9,libero_object,9,20,20,18,0.9,0,20
libero_object_task9,libero_object,9,40,20,15,0.75,0,20
libero_object_task9,libero_object,9,80,20,19,0.95,0,20
libero_goal_task0,libero_goal,0,10,20,0,0.0,0,20
libero_goal_task0,libero_goal,0,20,20,8,0.4,0,20
libero_goal_task0,libero_goal,0,40,20,16,0.8,0,20
libero_goal_task0,libero_goal,0,80,20,16,0.8,0,20
libero_goal_task1,libero_goal,1,10,20,17,0.85,0,20
libero_goal_task1,libero_goal,1,20,20,19,0.95,0,20
libero_goal_task1,libero_goal,1,40,20,18,0.9,0,20
libero_goal_task1,libero_goal,1,80,20,20,1.0,0,20
libero_goal_task2,libero_goal,2,10,20,17,0.85,0,20
libero_goal_task2,libero_goal,2,20,20,20,1.0,0,20
