t,spec_uid,uid,suite,task_id,seed,base_idx,w,noise_seed,cluster,is_novel_injection,lifecycle_state,executor,decision_reason,outcome,steps,bc_pool,sigma_k,phi_k,p_ge_tau,tau,wall_s,ledger,episode,cluster_id,cold_start,initial_state_id,episode_seed,observation_noise_seed,perturbation_width,controller,state_before,state_after,B_k_size,training_triggered,training_round,probe_triggered,probe_success_count,probe_failure_count,tau_k,habit_fired,habit_success,teacher_used,teacher_success,demotion,rematuration,transition_to_X,episode_success,VLA_calls,habit_calls,episode_latency,wall_clock_time,policy_version,probe_rounds,ineligible,shadow_jur_score,shadow_jur_q,shadow_jur_accept,aci_fired,aci_fired_fail,aci_empirical_risk,retrain_n,retrain_probe_round,retrain_passed,retrain_train_wall_s,retrain_formation_wall_s,retrain_probe_habit_calls,retrain_bc_pool_at_trigger,ledger_update_source,ledger_update_success
0,c709645f1d7ee25a,c709645f1d7ee25a,libero_goal,4,2,0,0.01,8000000,libero_goal_task4,False,U,vla,unknown_cluster,success,85,1,0,0,0.2,0.8,12.51,operational,0,libero_goal_task4,False,0,90000,8000000,0.01,vla,U,I,1,False,0,False,,,0.8,False,,True,True,False,False,False,True,11,0,12.514,2026-08-30 23:32:00,0,0,False,5.793,6.268,True,0,0,0.0,,,,,,,,teacher,True
1,bc26456a9173a94a,bc26456a9173a94a,libero_goal,7,2,1,0.01,8000001,libero_goal_task7,False,U,vla,unknown_cluster,success,79,1,0,0,0.2,0.8,4.11,operational,1,libero_goal_task7,False,1,90001,8000001,0.01,vla,U,I,1,False,0,False,,,0.8,False,,True,True,False,False,False,True,10,0,4.113,2026-08-30 23:32:13,0,0,False,4.958,6.59,True,0,0,0.0,,,,,,,,teacher,True
2,36296e099558a9b0,36296e099558a9b0,libero_goal,0,2,2,0.01,8000002,libero_goal_task0,False,U,vla,unknown_cluster,success,120,1,0,0,0.2,0.8,4.8,operational,2,libero_goal_task0,False,2,90002,8000002,0.01,vla,U,I,1,False,0,False,,,0.8,False,,True,True,False,False,False,True,15,0,4.802,2026-08-30 23:32:18,0,0,False,5.849,6.126,True,0,0,0.0,,,,,,,,teacher,True
3,dbd85a15e31edbe8,dbd85a15e31edbe8,libero_object,5,2,3,0.01,8000003,libero_object_task5,False,U,vla,unknown_cluster,success,122,1,0,0,0.2,0.8,13.46,operational,3,libero_object_task5,False,3,90003,8000003,0.01,vla,U,I,1,False,0,False,,,0.8,False,,True,True,False,False,False,True,16,0,13.462,2026-08-30 23:32:25,0,0,False,4.387,7.184,True,0,0,0.0,,,,,,,,teacher,True
4,c82742e6c55a3ece,c82742e6c55a3ece,libero_object,3,2,4,0.01,8000004,libero_object_task3,False,U,vla,unknown_cluster,success,139,1,0,0,0.2,0.8,5.03,operational,4,libero_object_task3,False,4,90004,8000004,0.01,vla,U,I,1,False,0,False,,,0.8,False,,True,True,False,False,False,True,18,0,5.029,2026-08-30 23:32:39,0,0,False,6.142,6.318,True,0,0,0.0,,,,,,,,teacher,True
5,b3f106b37a0f10c7,b3f106b37a0f10c7,libero_object,8,2,5,0.01,8000005,libero_object_task8,False,U,vla,unknown_cluster,success,148,1,0,0,0.2,0.8,5.14,operational,5,libero_object_task8,False,5,90005,8000005,0.01,vla,U,I,1,False,0,False,,,0.8,False,,True,True,False,False,False,True,19,0,5.138,2026-08-30 23:32:45,0,0,False,5.149,7.012,True,0,0,0.0,,,,,,,,teacher,True
6,ee2cd0dc50dd8fac,ee2cd0dc50dd8fac,libero_goal,5,2,6,0.01,8000006,libero_goal_task5,False,U,vla,unknown_cluster,success,119,1,0,0,0.2,0.8,13.71,operational,6,libero_goal_task5,False,6,90006,8000006,0.01,vla,U,I,1,False,0,False,,,0.8,False,,True,True,False,False,False,True,15,0,13.706,2026-08-30 23:32:52,0,0,False,4.554,6.344,True,0,0,0.0,,,,,,,,teacher,True
7,14ffdbee75f8c847,14ffdbee75f8c847,libero_object,1,2,7,0.01,8000007,libero_object_task1,False,U,vla,unknown_cluster,success,126,1,0,0,0.2,0.8,12.37,operational,7,libero_object_task1,False,7,90007,8000007,0.01,vla,U,I,1,False,0,False,,,0.8,False,,True,True,False,False,False,True,16,0,12.366,2026-08-30 23:33:08,0,0,False,3.788,6.242,True,0,0,0.0,,,,,,,,teacher,True
8,7cfbc8de31574a25,7cfbc8de31574a25,libero_object,0,2,8,0.01,8000008,libero_object_task0,False,U,vla,unknown_cluster,success,136,1,0,0,0.2,0.8,7.13,operational,8,libero_object_task0,False,8,90008,8000008,0.01,vla,U,I,1,False,0,False,,,0.8,False,,True,True,False,False,False,True,17,0,7.131,2026-08-30 23:33:21,0,0,False,8.524,7.11,False,0,0,0.0,,,,,,,,teacher,True
9,493ccea1e437073a,493ccea1e437073a,libero_goal,9,2,9,0.01,8000009,libero_goal_task9,False,U,vla,unknown_cluster,success,120,1,0,0,0.2,0.8,13.83,operational,9,libero_goal_task9,False,9,90009,8000009,0.01,vla,U,I,1,False,0,False,,,0.8,False,,True,True,False,False,False,True,15,0,13.833,2026-08-30 23:33:32,0,0,False,5.087,7.553,True,0,0,0.0,,,,,,,,teacher,True
10,65b3b03ff0b084ff,65b3b03ff0b084ff,libero_object,7,2,10,0.01,8000010,libero_object_task7,False,U,vla,unknown_cluster,success,127,1,0,0,0.2,0.8,12.74,operational,10,libero_object_task7,False,10,90010,8000010,0.01,vla,U,I,1,False,0,False,,,0.8,False,,True,True,False,False,False,True,16,0,12.742,2026-08-30 23:33:47,0,0,False,6.705,7.127,True,0,0,0.0,,,,,,,,teacher,True
11,a1d7c62da4190bf6,a1d7c62da4190bf6,libero_object,6,2,11,0.01,8000011,libero_object_task6,False,U,vla,unknown_cluster,success,147,1,0,0,0.2,0.8,5.47,operational,11,libero_object_task6,False,11,90011,8000011,0.01,vla,U,I,1,False,0,False,,,0.8,False,,True,True,False,False,False,True,19,0,5.47,2026-08-30 23:34:01,0,0,False,7.099,7.821,True,0,0,0.0,,,,,,,,teacher,True
12,ab68e0a9eeba50aa,ab68e0a9eeba50aa,libero_object,5,2,12,0.01,8000012,libero_object_task5,False,I,vla,immature,success,123,2,0,0,0.2,0.8,3.77,operational,12,libero_object_task5,False,12,90012,8000012,0.01,vla,I,I,2,False,0,False,,,0.8,False,,True,True,False,False,False,True,16,0,3.766,2026-08-30 23:34:07,0,0,False,4.315,7.184,True,0,0,0.0,,,,,,,,teacher,True
13,70820f616d3049f0,70820f616d3049f0,libero_object,1,2,13,0.01,8000013,libero_object_task1,False,I,vla,immature,success,127,2,0,0,0.2,0.8,5.03,operational,13,libero_object_task1,False,13,90013,8000013,0.01,vla,I,I,2,False,0,False,,,0.8,False,,True,True,False,False,False,True,16,0,5.028,2026-08-30 23:34:12,0,0,False,4.554,6.242,True,0,0,0.0,,,,,,,,teacher,True
14,ccefc82d2adcf636,ccefc82d2adcf636,libero_10,0,2,14,0.01,8000014,libero_10_task0,False,U,vla,unknown_cluster,success,290,1,0,0,0.2,0.8,20.27,operational,14,libero_10_task0,False,14,90014,8000014,0.01,vla,U,I,1,False,0,False,,,0.8,False,,True,True,False,False,False,True,37,0,20.274,2026-08-30 23:34:18,0,0,False,5.759,8.231,True,0,0,0.0,,,,,,,,teacher,True
