cluster_id,suite,perturbation_width,id_ood_label,within_usable_w_max,episode_uid,base_idx,episode_seed,noise_seed,habit_success,steps,familiarity_score_mahalanobis,familiarity_reject,jurisdiction_q,knn_score_k5,knn_score_k10,teacher_hidden_score
libero_object_task0,libero_object,0.01,ID,1,31bd0f3e8561f43e,40,31000,2001000,1,121,5.729,0,7.108,4.03299,4.74864,
libero_object_task0,libero_object,0.01,ID,1,ffb35d096a9edbbf,41,31001,2001001,1,129,5.036,0,7.108,4.83829,5.16392,
libero_object_task0,libero_object,0.01,ID,1,3d6d86ffdc2fc94a,42,31002,2001002,1,126,8.55,1,7.108,5.54338,6.41702,
libero_object_task0,libero_object,0.01,ID,1,3eceb126b814c8c4,43,31003,2001003,1,120,8.634,1,7.108,6.40528,6.77279,
libero_object_task0,libero_object,0.01,ID,1,a277ff8837f253e7,44,31004,2001004,1,120,8.228,1,7.108,6.03112,6.42125,
libero_object_task0,libero_object,0.01,ID,1,c9a523f76906a5ff,45,31005,2001005,1,128,6.949,0,7.108,5.17654,5.62443,
libero_object_task0,libero_object,0.01,ID,1,2a9c4ab536b5b92f,46,31006,2001006,1,120,5.996,0,7.108,4.93188,6.00572,
libero_object_task0,libero_object,0.01,ID,1,ad070e8ba351fabf,47,31007,2001007,1,119,7.851,1,7.108,4.86234,5.65515,
libero_object_task0,libero_object,0.01,ID,1,fa77fc3d8faf78ff,48,31008,2001008,1,128,4.468,0,7.108,4.44192,4.80579,
libero_object_task0,libero_object,0.01,ID,1,dd20834eb689ebde,49,31009,2001009,1,118,10.485,1,7.108,8.05624,8.78379,
libero_object_task0,libero_object,0.01,ID,1,23bc674853f9f8e9,40,31010,2001010,1,145,5.898,0,7.108,4.6247,4.97552,
libero_object_task0,libero_object,0.01,ID,1,90d2cb1aa94fde9a,41,31011,2001011,1,127,7.189,1,7.108,5.50798,5.71992,
libero_object_task0,libero_object,0.01,ID,1,ed361858f5120b59,42,31012,2001012,1,126,9.339,1,7.108,5.87637,6.83672,
libero_object_task0,libero_object,0.01,ID,1,efd0aeb4c55ca7ee,43,31013,2001013,1,137,8.389,1,7.108,6.26258,6.65527,
libero_object_task0,libero_object,0.01,ID,1,fed36ec3a44b4485,44,31014,2001014,1,137,7.293,1,7.108,5.95836,6.26742,
libero_object_task0,libero_object,0.02,boundary,1,f22d26d0afe2b57d,40,32000,2002000,1,122,5.288,0,7.108,4.31943,4.6765,
libero_object_task0,libero_object,0.02,boundary,1,16ee9720113b4283,41,32001,2002001,1,135,6.158,0,7.108,5.52511,5.68006,
libero_object_task0,libero_object,0.02,boundary,1,3eef90d48e52b990,42,32002,2002002,0,280,8.286,1,7.108,5.81051,6.58792,
