seed,episode,cluster_id,suite,task_id,n,probe_round,policy_version,bc_pool_at_trigger,train_wall_s,probe_and_prep_wall_s,formation_event_wall_s,probe_episodes,probe_habit_calls,probe_success_count,probe_failure_count,passed
0,384,libero_object_task7,libero_object,7,20,1,1,20,225.9,51.1,277.0,20,336,19,1,True
0,402,libero_goal_task7,libero_goal,7,20,1,1,20,225.4,44.9,270.3,20,190,20,0,True
0,440,libero_object_task3,libero_object,3,20,1,1,20,226.5,52.0,278.5,20,347,19,1,True
0,450,libero_goal_task9,libero_goal,9,20,1,1,20,225.6,59.5,285.1,20,434,15,5,False
0,469,libero_object_task4,libero_object,4,20,1,1,20,226.2,52.0,278.2,20,357,19,1,True
0,491,libero_goal_task4,libero_goal,4,20,1,1,20,226.3,47.7,274.0,20,245,19,1,True
0,496,libero_goal_task8,libero_goal,8,20,1,1,20,226.0,47.9,273.9,20,256,18,2,False
0,507,libero_spatial_task0,libero_spatial,0,20,1,1,20,226.1,55.5,281.6,20,232,19,1,True
0,519,libero_goal_task2,libero_goal,2,20,1,1,20,225.4,47.5,272.9,20,237,20,0,True
0,549,libero_object_task9,libero_object,9,20,1,1,20,227.0,54.5,281.5,20,399,15,5,False
0,564,libero_goal_task5,libero_goal,5,20,1,1,20,226.5,59.2,285.7,20,420,16,4,False
0,589,libero_spatial_task1,libero_spatial,1,20,1,1,20,226.6,62.0,288.6,20,312,18,2,False
0,603,libero_goal_task3,libero_goal,3,20,1,1,20,225.3,61.5,286.8,20,478,17,3,False
0,624,libero_object_task5,libero_object,5,20,1,1,20,225.7,57.7,283.4,20,425,14,6,False
0,632,libero_object_task0,libero_object,0,20,1,1,20,225.8,63.5,289.3,20,551,9,11,False
0,640,libero_object_task1,libero_object,1,20,1,1,20,226.7,58.2,284.9,20,462,12,8,False
0,645,libero_goal_task1,libero_goal,1,20,1,1,20,227.3,46.0,273.3,20,215,20,0,True
0,656,libero_10_task0,libero_10,0,20,1,1,20,225.2,105.5,330.7,20,1022,9,11,False
0,668,libero_object_task2,libero_object,2,20,1,1,20,225.6,49.8,275.4,20,298,20,0,True
0,676,libero_object_task6,libero_object,6,20,1,1,20,226.5,54.7,281.2,20,408,18,2,False
0,743,libero_object_task8,libero_object,8,20,1,1,20,226.0,52.2,278.2,20,374,20,0,True
0,744,libero_goal_task6,libero_goal,6,20,1,1,20,225.6,53.0,278.6,20,342,16,4,False
0,775,libero_10_task2,libero_10,2,20,1,1,20,229.1,52.3,281.4,20,612,19,1,True
0,780,libero_goal_task0,libero_goal,0,20,1,1,20,225.9,66.0,291.9,20,581,12,8,False
0,787,libero_10_task5,libero_10,5,20,1,1,20,225.7,52.3,278.0,20,470,20,0,True
0,1393,libero_spatial_task8,libero_spatial,8,20,1,1,20,227.5,62.4,289.9,20,288,17,3,False
0,1529,libero_spatial_task4,libero_spatial,4,20,1,1,20,226.7,68.5,295.2,20,340,18,2,False
0,1664,libero_spatial_task9,libero_spatial,9,20,1,1,20,227.2,74.4,301.6,20,409,11,9,False
0,1744,libero_spatial_task3,libero_spatial,3,20,1,1,20,227.5,58.4,285.9,20,222,20,0,True
0,1749,libero_spatial_task7,libero_spatial,7,20,1,1,20,226.1,65.6,291.7,20,290,20,0,True
0,1754,libero_spatial_task5,libero_spatial,5,20,1,1,20,226.1,74.4,300.5,20,394,10,10,False
0,1781,libero_spatial_task6,libero_spatial,6,20,1,1,20,226.7,59.9,286.6,20,259,20,0,True
0,1893,libero_spatial_task2,libero_spatial,2,20,1,1,20,227.1,61.9,289.0,20,265,19,1,True
0,1958,libero_goal_task9,libero_goal,9,80,2,2,80,629.3,58.6,687.9,20,362,19,1,False
0,2073,libero_goal_task0,libero_goal,0,80,2,2,80,629.5,68.6,698.1,20,578,10,10,False
0,2122,libero_object_task1,libero_object,1,80,2,2,80,627.6,54.0,681.6,20,350,19,1,False
0,2197,libero_object_task7,libero_object,7,80,2,2,80,627.9,54.6,682.5,20,358,18,2,False
0,2214,libero_goal_task5,libero_goal,5,80,2,2,80,626.1,55.7,681.8,20,315,20,0,True
0,2229,libero_goal_task3,libero_goal,3,80,2,2,80,626.7,65.2,691.9,20,502,16,4,False
0,2270,libero_object_task9,libero_object,9,80,2,2,80,631.1,53.9,685.0,20,337,19,1,False
0,2308,libero_goal_task8,libero_goal,8,80,2,2,80,629.2,47.0,676.2,20,197,20,0,True
0,2356,libero_goal_task6,libero_goal,6,80,2,2,80,633.0,51.9,684.9,20,276,19,1,True
0,2362,libero_object_task3,libero_object,3,80,2,2,80,626.0,58.2,684.2,20,398,17,3,False
0,2413,libero_object_task0,libero_object,0,80,2,2,80,630.7,64.8,695.5,20,471,13,7,False
0,2450,libero_object_task5,libero_object,5,80,2,2,80,630.7,53.1,683.8,20,305,20,0,True
0,2508,libero_spatial_task1,libero_spatial,1,80,2,2,80,629.8,63.0,692.8,20,265,20,0,True
0,2509,libero_object_task6,libero_object,6,80,2,2,80,626.8,57.6,684.4,20,413,18,2,False
0,2634,libero_10_task2,libero_10,2,80,2,2,80,627.7,55.1,682.8,20,598,20,0,True
0,2671,libero_10_task0,libero_10,0,80,2,2,80,631.1,102.2,733.3,20,900,13,7,False
1,367,libero_goal_task6,libero_goal,6,20,1,1,20,230.6,56.3,286.9,20,367,15,5,False
1,392,libero_object_task1,libero_object,1,20,1,1,20,226.9,54.6,281.5,20,380,20,0,True
1,422,libero_object_task8,libero_object,8,20,1,1,20,225.3,57.1,282.4,20,470,17,3,False
1,436,libero_10_task5,libero_10,5,20,1,1,20,226.9,47.1,274.0,20,391,20,0,True
1,439,libero_goal_task7,libero_goal,7,20,1,1,20,226.0,41.3,267.3,20,186,20,0,True
1,460,libero_object_task2,libero_object,2,20,1,1,20,228.2,50.2,278.4,20,302,20,0,True
1,513,libero_object_task4,libero_object,4,20,1,1,20,226.9,51.0,277.9,20,339,20,0,True
1,522,libero_spatial_task1,libero_spatial,1,20,1,1,20,225.7,58.5,284.2,20,292,19,1,True
1,547,libero_object_task0,libero_object,0,20,1,1,20,227.5,60.7,288.2,20,447,16,4,False
1,557,libero_object_task9,libero_object,9,20,1,1,20,225.9,57.1,283.0,20,444,14,6,False
1,571,libero_spatial_task0,libero_spatial,0,20,1,1,20,227.1,57.9,285.0,20,236,18,2,False
1,586,libero_goal_task4,libero_goal,4,20,1,1,20,226.8,44.9,271.7,20,209,20,0,True
1,607,libero_goal_task9,libero_goal,9,20,1,1,20,227.0,53.5,280.5,20,353,19,1,True
