anchor,sample_idx,ms
act_forward_rgb_only,0,3.355
act_forward_rgb_only,1,3.3478
act_forward_rgb_only,2,3.3449
act_forward_rgb_only,3,3.3533
act_forward_rgb_only,4,3.3463
act_forward_rgb_only,5,3.3575
act_forward_rgb_only,6,3.3637
act_forward_rgb_only,7,3.3529
act_forward_rgb_only,8,3.3424
act_forward_rgb_only,9,3.3534
act_forward_rgb_only,10,3.3442
act_forward_rgb_only,11,3.3503
act_forward_rgb_only,12,3.3515
act_forward_rgb_only,13,3.3453
act_forward_rgb_only,14,3.3558
act_forward_rgb_only,15,3.3484
act_forward_rgb_only,16,3.3492
act_forward_rgb_only,17,3.3564
act_forward_rgb_only,18,3.3513
act_forward_rgb_only,19,3.3455
act_forward_rgb_only,20,3.3587
act_forward_rgb_only,21,3.3577
act_forward_rgb_only,22,3.338
act_forward_rgb_only,23,3.3455
act_forward_rgb_only,24,3.3903
act_forward_rgb_only,25,3.3447
act_forward_rgb_only,26,3.368
act_forward_rgb_only,27,3.3544
act_forward_rgb_only,28,3.3464
act_forward_rgb_only,29,3.3567
act_forward_rgb_only,30,3.3554
act_forward_rgb_only,31,3.3496
act_forward_rgb_only,32,3.3533
act_forward_rgb_only,33,3.3392
act_forward_rgb_only,34,3.3535
act_forward_rgb_only,35,3.3482
act_forward_rgb_only,36,3.3373
act_forward_rgb_only,37,3.3598
act_forward_rgb_only,38,3.3471
act_forward_rgb_only,39,3.3361
act_forward_rgb_only,40,3.3504
act_forward_rgb_only,41,3.3506
act_forward_rgb_only,42,3.343
act_forward_rgb_only,43,3.3474
act_forward_rgb_only,44,3.3495
act_forward_rgb_only,45,3.3536
act_forward_rgb_only,46,3.3474
act_forward_rgb_only,47,3.3402
act_forward_rgb_only,48,3.3463
act_forward_rgb_only,49,3.3432
act_forward_rgb_only,50,3.3445
act_forward_rgb_only,51,3.3433
act_forward_rgb_only,52,3.3544
act_forward_rgb_only,53,3.3487
act_forward_rgb_only,54,3.3596
act_forward_rgb_only,55,3.3485
act_forward_rgb_only,56,3.343
act_forward_rgb_only,57,3.3464
act_forward_rgb_only,58,3.3474
act_forward_rgb_only,59,3.3496
act_forward_rgb_only,60,3.3496
act_forward_rgb_only,61,3.3473
act_forward_rgb_only,62,3.3445
act_forward_rgb_only,63,3.3443
act_forward_rgb_only,64,3.3467
act_forward_rgb_only,65,3.3578
act_forward_rgb_only,66,3.3554
act_forward_rgb_only,67,3.3496
act_forward_rgb_only,68,3.3473
act_forward_rgb_only,69,3.3608
act_forward_rgb_only,70,3.336
act_forward_rgb_only,71,3.3537
act_forward_rgb_only,72,3.3586
act_forward_rgb_only,73,3.3455
act_forward_rgb_only,74,3.3553
act_forward_rgb_only,75,3.3473
act_forward_rgb_only,76,3.3475
