seed,cluster_id,suite,task_id,cold_start,first_exposure_episode,first_training_episode,second_training_episode,first_maturity_episode,first_X_episode,num_exposures,num_firings,num_failures,num_demotions,num_rematurations,num_retrainings,final_state,final_B_k_size,final_tau,final_sigma_k,final_phi_k
0,libero_10_task0,libero_10,0,0,6,656,2671,,2671,144,0,0,0,0,2,X,121,0.8,15.25,9.75
0,libero_10_task2,libero_10,2,0,64,775,2634,775,,144,61,1,1,1,2,M,80,0.8,83.25,0.5
0,libero_10_task5,libero_10,5,0,7,787,,787,,144,124,12,0,0,1,M,20,0.8,132.0,12.0
0,libero_goal_task0,libero_goal,0,0,93,780,2073,,2073,144,0,0,0,0,2,X,137,0.8,13.0,12.0
0,libero_goal_task1,libero_goal,1,0,1,645,,645,,144,124,5,0,0,1,M,20,0.8,139.0,5.0
0,libero_goal_task2,libero_goal,2,0,2,519,,519,,144,124,1,0,0,1,M,20,0.8,143.0,1.0
0,libero_goal_task3,libero_goal,3,0,28,603,2229,,2229,144,0,0,0,0,2,X,127,0.8,20.25,4.75
0,libero_goal_task4,libero_goal,4,0,4,491,,491,,144,124,3,0,0,1,M,20,0.8,140.0,4.0
0,libero_goal_task5,libero_goal,5,0,8,564,2214,2214,,144,64,2,0,0,2,M,80,0.8,86.0,3.0
0,libero_goal_task6,libero_goal,6,0,76,744,2356,2356,,144,2,1,1,0,2,I,136,0.816,24.0,3.0
0,libero_goal_task7,libero_goal,7,0,30,402,,402,,144,124,0,0,0,1,M,20,0.8,144.0,0.0
0,libero_goal_task8,libero_goal,8,0,74,496,2308,2308,,144,63,7,0,0,2,M,80,0.828,80.5,7.5
0,libero_goal_task9,libero_goal,9,0,3,450,1958,,1958,144,0,0,0,0,2,X,143,0.8,22.75,2.25
0,libero_object_task0,libero_object,0,0,52,632,2413,,2413,144,0,0,0,0,2,X,140,0.8,15.25,9.75
0,libero_object_task1,libero_object,1,0,39,640,2122,,2122,144,0,0,0,0,2,X,141,0.8,22.0,3.0
0,libero_object_task2,libero_object,2,0,34,668,,668,,144,124,0,0,0,1,M,20,0.8,144.0,0.0
0,libero_object_task3,libero_object,3,0,62,440,2362,440,2362,144,6,1,1,0,2,X,133,0.816,23.0,3.5
0,libero_object_task4,libero_object,4,0,5,469,,469,,144,124,1,0,0,1,M,20,0.8,142.0,2.0
0,libero_object_task5,libero_object,5,0,141,624,2450,2450,,144,56,0,0,0,2,M,80,0.8,79.5,1.5
0,libero_object_task6,libero_object,6,0,0,676,2509,,2509,144,0,0,0,0,2,X,139,0.8,22.5,2.5
0,libero_object_task7,libero_object,7,0,25,384,2197,384,2197,144,2,1,1,0,2,X,139,0.816,23.0,2.5
0,libero_object_task8,libero_object,8,0,13,743,,743,,144,122,3,0,0,1,M,20,0.8,139.0,3.0
0,libero_object_task9,libero_object,9,0,21,549,2270,,2270,144,0,0,0,0,2,X,139,0.8,22.75,2.25
0,libero_spatial_task0,libero_spatial,0,0,18,507,,507,,144,123,11,0,0,1,M,20,0.828,131.0,12.0
0,libero_spatial_task1,libero_spatial,1,0,27,589,2508,2508,,144,64,4,0,0,2,M,80,0.8,84.5,4.5
0,libero_spatial_task2,libero_spatial,2,1,145,1893,,1893,,50,30,0,0,0,1,M,20,0.8,49.0,1.0
0,libero_spatial_task3,libero_spatial,3,1,19,1744,,1744,,50,20,4,1,0,1,I,29,0.844,36.0,4.0
0,libero_spatial_task4,libero_spatial,4,1,121,1529,,,,50,0,0,0,0,1,I,49,0.8,18.0,2.0
0,libero_spatial_task5,libero_spatial,5,1,38,1754,,,,50,0,0,0,0,1,I,42,0.8,10.0,10.0
0,libero_spatial_task6,libero_spatial,6,1,210,1781,,1781,,50,30,0,0,0,1,M,20,0.8,50.0,0.0
0,libero_spatial_task7,libero_spatial,7,1,11,1749,,1749,,50,27,3,0,0,1,M,20,0.82,44.0,3.0
0,libero_spatial_task8,libero_spatial,8,1,29,1393,,,,50,0,0,0,0,1,I,47,0.8,17.0,3.0
0,libero_spatial_task9,libero_spatial,9,1,148,1664,,,,50,0,0,0,0,1,I,49,0.8,11.0,9.0
1,libero_10_task0,libero_10,0,0,88,772,2480,,2480,144,0,0,0,0,2,X,129,0.8,17.25,7.75
1,libero_10_task2,libero_10,2,0,2,612,2227,,2227,144,0,0,0,0,2,X,138,0.8,22.75,2.25
1,libero_10_task5,libero_10,5,0,25,436,,436,,144,124,5,0,0,1,M,20,0.808,139.0,5.0
1,libero_goal_task0,libero_goal,0,0,29,715,2244,,2244,144,0,0,0,0,2,X,137,0.8,18.0,7.0
1,libero_goal_task1,libero_goal,1,0,56,633,,633,,144,123,8,0,0,1,M,20,0.8,135.0,8.0
1,libero_goal_task2,libero_goal,2,0,180,766,,766,,144,123,1,0,0,1,M,20,0.8,142.0,1.0
1,libero_goal_task3,libero_goal,3,0,22,685,2579,,2579,144,0,0,0,0,2,X,120,0.8,22.0,3.0
1,libero_goal_task4,libero_goal,4,0,5,586,,586,,144,123,1,0,0,1,M,20,0.8,142.0,1.0
1,libero_goal_task5,libero_goal,5,0,40,622,2334,,2334,144,0,0,0,0,2,X,142,0.8,22.25,2.75
1,libero_goal_task6,libero_goal,6,0,10,367,2268,,2268,144,0,0,0,0,2,X,143,0.8,21.75,3.25
1,libero_goal_task7,libero_goal,7,0,9,439,,439,,144,124,0,0,0,1,M,20,0.8,144.0,0.0
1,libero_goal_task8,libero_goal,8,0,0,874,2411,2411,,144,64,2,0,0,2,M,80,0.8,85.5,3.5
1,libero_goal_task9,libero_goal,9,0,17,607,,607,,144,123,5,0,0,1,M,20,0.808,137.0,6.0
1,libero_object_task0,libero_object,0,0,24,547,2214,2214,,144,61,4,0,0,2,M,80,0.8,80.0,6.0
1,libero_object_task1,libero_object,1,0,49,392,3843,392,,144,62,8,1,1,2,M,80,0.816,44.5,2.0
1,libero_object_task2,libero_object,2,0,23,460,,460,,144,123,0,0,0,1,M,20,0.8,143.0,0.0
1,libero_object_task3,libero_object,3,0,4,701,,701,,144,122,1,0,0,1,M,20,0.8,141.0,1.0
1,libero_object_task4,libero_object,4,0,7,513,,513,,144,124,3,0,0,1,M,20,0.812,141.0,3.0
1,libero_object_task5,libero_object,5,0,28,664,2319,2319,,144,53,3,0,0,2,M,80,0.8,74.25,3.75
1,libero_object_task6,libero_object,6,0,1,638,2243,,2243,144,0,0,0,0,2,X,143,0.8,22.5,2.5
